t, y
0, 2
0.0125, 2.0125
0.025, 2.02516
0.0375, 2.03797
0.05, 2.05094
0.0625, 2.06406
0.075, 2.07734
0.0875, 2.09078
0.1, 2.10438
0.1125, 2.11813
0.125, 2.13203
0.1375, 2.14609
0.15, 2.16031
0.1625, 2.17469
0.175, 2.18922
0.1875, 2.20391
0.2, 2.21875
0.2125, 2.23375
0.225, 2.24891
0.2375, 2.26422
0.25, 2.27969
0.2625, 2.29531
0.275, 2.31109
0.2875, 2.32703
0.3, 2.34313
0.3125, 2.35938
0.325, 2.37578
0.3375, 2.39234
0.35, 2.40906
0.3625, 2.42594
0.375, 2.44297
0.3875, 2.46016
0.4, 2.4775
0.4125, 2.495
0.425, 2.51266
0.4375, 2.53047
0.45, 2.54844
0.4625, 2.56656
0.475, 2.58484
0.4875, 2.60328
0.5, 2.62188
0.5125, 2.64062
0.525, 2.65953
0.5375, 2.67859
0.55, 2.69781
0.5625, 2.71719
0.575, 2.73672
0.5875, 2.75641
0.6, 2.77625
0.6125, 2.79625
0.625, 2.81641
0.6375, 2.83672
0.65, 2.85719
0.6625, 2.87781
0.675, 2.89859
0.6875, 2.91953
0.7, 2.94063
0.7125, 2.96188
0.725, 2.98328
0.7375, 3.00484
0.75, 3.02656
0.7625, 3.04844
0.775, 3.07047
0.7875, 3.09266
0.8, 3.115
0.8125, 3.1375
0.825, 3.16016
0.8375, 3.18297
0.85, 3.20594
0.8625, 3.22906
0.875, 3.25234
0.8875, 3.27578
0.9, 3.29937
0.9125, 3.32313
0.925, 3.34703
0.9375, 3.37109
0.95, 3.39531
0.9625, 3.41969
0.975, 3.44422
0.9875, 3.46891
1, 3.49375
