t, y
0, 0.8
1, 3.20392e+06
2, 1.28314e+13
3, 5.13884e+19
4, 2.05806e+26
5, 8.24231e+32
6, 3.30096e+39
7, 1.322e+46
8, 5.29449e+52
9, 2.12039e+59
10, 8.49196e+65
11, 3.40095e+72
12, 1.36204e+79
13, 5.45485e+85
14, 2.18462e+92
15, 8.74917e+98
16, 3.50396e+105
17, 1.4033e+112
18, 5.62008e+118
19, 2.25078e+125
20, 9.01417e+131
21, 3.61009e+138
22, 1.4458e+145
23, 5.7903e+151
24, 2.31896e+158
25, 9.2872e+164
26, 3.71943e+171
27, 1.48959e+178
28, 5.96568e+184
29, 2.3892e+191
30, 9.56849e+197
31, 3.83209e+204
32, 1.53471e+211
33, 6.14637e+217
34, 2.46156e+224
35, 9.85831e+230
36, 3.94816e+237
37, 1.5812e+244
38, 6.33254e+250
39, 2.53612e+257
40, 1.01569e+264
41, 4.06774e+270
42, 1.62909e+277
43, 6.52434e+283
44, 2.61293e+290
45, 1.04645e+297
46, 4.19095e+303
47, nan
48, nan
49, nan
50, nan
51, nan
52, nan
53, nan
54, nan
55, nan
56, nan
57, nan
58, nan
59, nan
60, nan
61, nan
62, nan
63, nan
64, nan
65, nan
66, nan
67, nan
68, nan
69, nan
70, nan
71, nan
72, nan
73, nan
74, nan
75, nan
76, nan
77, nan
78, nan
79, nan
80, nan
81, nan
82, nan
83, nan
84, nan
85, nan
86, nan
87, nan
88, nan
89, nan
90, nan
91, nan
92, nan
93, nan
94, nan
95, nan
96, nan
97, nan
98, nan
99, nan
100, nan
