t, y
0, 0.8
0.015625, 0.216618
0.03125, 0.0586544
0.046875, 0.015882
0.0625, 0.00430042
0.078125, 0.00116444
0.09375, 0.000315298
0.109375, 8.53742e-05
0.125, 2.3117e-05
0.140625, 6.25947e-06
0.15625, 1.69489e-06
0.171875, 4.58931e-07
0.1875, 1.24266e-07
0.203125, 3.36479e-08
0.21875, 9.11095e-09
0.234375, 2.467e-09
0.25, 6.67996e-10
0.265625, 1.80875e-10
0.28125, 4.89761e-11
0.296875, 1.32614e-11
0.3125, 3.59083e-12
0.328125, 9.723e-13
0.34375, 2.63273e-13
0.359375, 7.12871e-14
0.375, 1.93026e-14
0.390625, 5.22662e-15
0.40625, 1.41523e-15
0.421875, 3.83206e-16
0.4375, 1.03762e-16
0.453125, 2.80959e-17
0.46875, 7.6076e-18
0.484375, 2.05993e-18
0.5, 5.57774e-19
0.515625, 1.5103e-19
0.53125, 4.08948e-20
0.546875, 1.10732e-20
0.5625, 2.99833e-21
0.578125, 8.11866e-22
0.59375, 2.19831e-22
0.609375, 5.95244e-23
0.625, 1.61176e-23
0.640625, 4.36421e-24
0.65625, 1.18171e-24
0.671875, 3.19975e-25
0.6875, 8.66405e-26
0.703125, 2.34599e-26
0.71875, 6.35231e-27
0.734375, 1.72003e-27
0.75, 4.65738e-28
0.765625, 1.26109e-28
0.78125, 3.4147e-29
0.796875, 9.24608e-30
0.8125, 2.50359e-30
0.828125, 6.77904e-31
0.84375, 1.83558e-31
0.859375, 4.97026e-32
0.875, 1.34581e-32
0.890625, 3.64409e-33
0.90625, 9.86721e-34
0.921875, 2.67177e-34
0.9375, 7.23444e-35
0.953125, 1.95889e-35
0.96875, 5.30415e-36
0.984375, 1.43622e-36
1, 3.88889e-37
1.01562, 1.05301e-37
1.03125, 2.85126e-38
1.04688, 7.72044e-39
1.0625, 2.09048e-39
1.07812, 5.66047e-40
1.09375, 1.5327e-40
1.10938, 4.15014e-41
1.125, 1.12375e-41
1.14062, 3.0428e-42
1.15625, 8.23908e-43
1.17188, 2.23092e-43
1.1875, 6.04072e-44
1.20312, 1.63566e-44
1.21875, 4.42894e-45
1.23438, 1.19924e-45
1.25, 3.24721e-46
1.26562, 8.79256e-47
1.28125, 2.38079e-47
1.29688, 6.44653e-48
1.3125, 1.74555e-48
1.32812, 4.72646e-49
1.34375, 1.2798e-49
1.35938, 3.46535e-50
1.375, 9.38322e-51
1.39062, 2.54072e-51
1.40625, 6.87959e-52
1.42188, 1.86281e-52
1.4375, 5.04398e-53
1.45312, 1.36577e-53
1.46875, 3.69814e-54
1.48438, 1.00136e-54
1.5, 2.7114e-55
1.51562, 7.34175e-56
1.53125, 1.98795e-56
1.54688, 5.38282e-57
1.5625, 1.45752e-57
1.57812, 3.94657e-58
1.59375, 1.06863e-58
1.60938, 2.89355e-59
1.625, 7.83495e-60
1.64062, 2.12149e-60
1.65625, 5.74443e-61
1.67188, 1.55543e-61
1.6875, 4.2117e-62
1.70312, 1.14041e-62
1.71875, 3.08793e-63
1.73438, 8.36128e-64
1.75, 2.26401e-64
1.76562, 6.13032e-65
1.78125, 1.65993e-65
1.79688, 4.49463e-66
1.8125, 1.21702e-66
1.82812, 3.29537e-67
1.84375, 8.92297e-68
1.85938, 2.4161e-68
1.875, 6.54214e-69
1.89062, 1.77144e-69
1.90625, 4.79657e-70
1.92188, 1.29878e-70
1.9375, 3.51675e-71
1.95312, 9.5224e-72
1.96875, 2.57841e-72
1.98438, 6.98163e-73
2, 1.89044e-73
2.01562, 5.11879e-74
2.03125, 1.38603e-74
2.04688, 3.75299e-75
2.0625, 1.01621e-75
2.07812, 2.75162e-76
2.09375, 7.45064e-77
2.10938, 2.01743e-77
2.125, 5.46266e-78
2.14062, 1.47914e-78
2.15625, 4.00511e-79
2.17188, 1.08448e-79
2.1875, 2.93647e-80
2.20312, 7.95116e-81
2.21875, 2.15296e-81
2.23438, 5.82963e-82
2.25, 1.57851e-82
2.26562, 4.27417e-83
2.28125, 1.15733e-83
2.29688, 3.13373e-84
2.3125, 8.4853e-85
2.32812, 2.29759e-85
2.34375, 6.22125e-86
2.35938, 1.68455e-86
2.375, 4.56129e-87
2.39062, 1.23508e-87
2.40625, 3.34425e-88
2.42188, 9.05532e-89
2.4375, 2.45194e-89
2.45312, 6.63918e-90
2.46875, 1.79771e-90
2.48438, 4.86771e-91
2.5, 1.31804e-91
2.51562, 3.56891e-92
2.53125, 9.66364e-93
2.54688, 2.61665e-93
2.5625, 7.08518e-94
2.57812, 1.91848e-94
2.59375, 5.19471e-95
2.60938, 1.40659e-95
2.625, 3.80866e-96
2.64062, 1.03128e-96
2.65625, 2.79243e-97
2.67188, 7.56115e-98
2.6875, 2.04735e-98
2.70312, 5.54368e-99
2.71875, 1.50108e-99
2.73438, 4.06452e-100
2.75, 1.10056e-100
2.76562, 2.98002e-101
2.78125, 8.06909e-102
2.79688, 2.18489e-102
2.8125, 5.91609e-103
2.82812, 1.60192e-103
2.84375, 4.33756e-104
2.85938, 1.17449e-104
2.875, 3.18021e-105
2.89062, 8.61115e-106
2.90625, 2.33167e-106
2.92188, 6.31352e-107
2.9375, 1.70953e-107
2.95312, 4.62895e-108
2.96875, 1.25339e-108
2.98438, 3.39385e-109
3, 9.18963e-110
3.01562, 2.4883e-110
3.03125, 6.73765e-111
3.04688, 1.82437e-111
3.0625, 4.93991e-112
3.07812, 1.33759e-112
3.09375, 3.62184e-113
3.10938, 9.80697e-114
3.125, 2.65546e-114
3.14062, 7.19027e-115
3.15625, 1.94693e-115
3.17188, 5.27176e-116
3.1875, 1.42745e-116
3.20312, 3.86515e-117
3.21875, 1.04658e-117
3.23438, 2.83385e-118
3.25, 7.6733e-119
3.26562, 2.07772e-119
3.28125, 5.62591e-120
